Time,Tips,Hum%,TempC,voltMeasure(V),readVcc(mV),Event
2015-04-30T16:41:03,0,39.00,22.00,4.78,4850,Normal
2015-04-30T16:42:03,0,39.00,22.00,4.86,4850,Normal
2015-04-30T16:43:03,0,39.00,22.00,4.74,4850,Normal
2015-04-30T16:44:02,0,39.00,22.00,4.77,4850,Normal
2015-04-30T16:45:02,0,39.00,22.00,4.78,4850,Normal
2015-04-30T16:46:02,0,39.00,22.00,4.84,4850,Normal
2015-04-30T16:47:01,0,39.00,22.00,4.75,4850,Normal
2015-04-30T16:48:01,0,39.00,22.00,4.83,4850,Normal
2015-04-30T16:49:01,0,39.00,22.00,4.76,4850,Normal
2015-04-30T16:50:00,0,39.00,22.00,4.75,4850,Normal
2015-04-30T16:51:00,0,39.00,22.00,4.84,4850,Normal
2015-04-30T16:52:00,0,39.00,22.00,4.75,4850,Normal
2015-04-30T16:53:08,0,39.00,22.00,4.86,4850,Normal
2015-04-30T16:54:07,0,39.00,22.00,4.75,4850,Normal
2015-04-30T16:55:07,0,39.00,22.00,4.81,4850,Normal
2015-04-30T16:56:07,0,39.00,22.00,4.72,4850,Normal
2015-04-30T16:57:06,0,39.00,22.00,4.78,4850,Normal
2015-04-30T16:58:06,0,39.00,22.00,4.84,4850,Normal
2015-04-30T16:59:06,0,39.00,22.00,4.85,4850,Normal
2015-04-30T17:00:05,0,39.00,22.00,4.76,4850,Normal
2015-04-30T17:00:06,0,39.00,22.00,4.62,4850,Daily backup
2015-04-30T17:01:34,0,39.00,22.00,4.82,4850,Normal
2015-04-30T17:02:00,0,39.00,22.00,4.76,4850,Normal
2015-04-30T17:03:00,0,39.00,22.00,4.78,4850,Normal
2015-04-30T17:04:00,0,39.00,22.00,4.77,4850,Normal
2015-04-30T17:05:08,0,39.00,22.00,4.80,4850,Normal
2015-04-30T17:06:07,0,39.00,22.00,4.73,4850,Normal
2015-04-30T17:07:07,0,39.00,22.00,4.82,4850,Normal
2015-04-30T17:08:07,0,39.00,22.00,4.82,4850,Normal
2015-04-30T17:09:07,0,39.00,22.00,4.79,4850,Normal
2015-04-30T17:10:06,0,38.00,23.00,4.85,4850,Normal
2015-04-30T17:11:06,0,38.00,23.00,4.78,4850,Normal
2015-04-30T17:12:06,0,38.00,23.00,4.90,4850,Normal
2015-04-30T17:13:05,0,38.00,23.00,4.86,4850,Normal
2015-04-30T17:14:05,0,38.00,23.00,4.85,4850,Normal
2015-04-30T17:15:05,0,38.00,23.00,4.85,4850,Normal
2015-04-30T17:16:04,0,39.00,22.00,4.75,4829,Normal
2015-04-30T17:17:04,0,39.00,22.00,4.79,4850,Normal
2015-04-30T17:18:04,0,39.00,22.00,4.74,4850,Normal
